variant,n_rows,test_mae,test_rmse,test_r2
MLP без site_id + log1p(y),575,1.8096594195080224,7.696618370023428,0.17266235654508721
MLP с site_id,575,1.8502819706283358,7.688309606920875,0.17444767100748615
MLP с site_id + log1p(y),575,1.8785646253252648,7.681693027785176,0.17586800451275075
MLP без site_id,575,2.099485201632749,8.032670501873326,0.09883817816272689
