dataset_variant,target,validation_scheme,model,n_rows,n_train,n_test,n_features_raw,cv_folds,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2,target_decision_note,is_best_by_test_mae
Полный датасет,retreat_rate_abs_m_per_year,случайное разбиение на обучение и тест,HistGradientBoostingRegressor,575,460,115,23,5,1.4449804622913476,0.19135035791472843,3.62150340067017,1.281321715473624,0.02526527359537605,0.4452079867215489,1.7842141502577182,6.775937839331422,0.35875837581028913,"Выбрана целевая переменная `retreat_rate_abs_m_per_year`: это беззнаковая интенсивность изменения береговой бровки, нормированная на длительность интервала. Такая целевая переменная безопаснее для базовой регрессии, чем знаковые метрики, потому что знак смещения требует отдельной доменной интерпретации.",True
Полный датасет,retreat_rate_abs_m_per_year,случайное разбиение на обучение и тест,MLPRegressor,575,460,115,23,5,1.4464261773877,0.22331540070769954,3.5968205987975685,1.753401732906746,0.2186307844698284,0.01813733477030079,2.114569254261165,8.033015060667406,0.09876086641690152,"Выбрана целевая переменная `retreat_rate_abs_m_per_year`: это беззнаковая интенсивность изменения береговой бровки, нормированная на длительность интервала. Такая целевая переменная безопаснее для базовой регрессии, чем знаковые метрики, потому что знак смещения требует отдельной доменной интерпретации.",False
Полный датасет,retreat_rate_abs_m_per_year,случайное разбиение на обучение и тест,DummyRegressor_median,575,460,115,23,5,1.9986150008249997,0.42009208897138234,4.2320532752167,1.9761410110001039,-0.10063234239581935,0.03548791213856136,2.4483326156266454,8.607618514927953,-0.03478208461309662,"Выбрана целевая переменная `retreat_rate_abs_m_per_year`: это беззнаковая интенсивность изменения береговой бровки, нормированная на длительность интервала. Такая целевая переменная безопаснее для базовой регрессии, чем знаковые метрики, потому что знак смещения требует отдельной доменной интерпретации.",False
Без подозрительных строк автоэнкодера,retreat_rate_abs_m_per_year,случайное разбиение на обучение и тест,HistGradientBoostingRegressor,541,432,109,23,5,1.4104160899509335,0.3491376767820373,3.9186129702471577,1.6630698315122354,-0.06337199841075916,0.6452985221809564,2.256243364420286,6.66822382539989,0.34628675402814535,"Выбрана целевая переменная `retreat_rate_abs_m_per_year`: это беззнаковая интенсивность изменения береговой бровки, нормированная на длительность интервала. Такая целевая переменная безопаснее для базовой регрессии, чем знаковые метрики, потому что знак смещения требует отдельной доменной интерпретации.",True
Без подозрительных строк автоэнкодера,retreat_rate_abs_m_per_year,случайное разбиение на обучение и тест,MLPRegressor,541,432,109,23,5,1.433415060940144,0.26043802700365565,3.6772095133296716,2.0311340163982856,0.2689130882805242,0.11391889766399989,2.317313410995855,7.317262857939786,0.21283774692900925,"Выбрана целевая переменная `retreat_rate_abs_m_per_year`: это беззнаковая интенсивность изменения береговой бровки, нормированная на длительность интервала. Такая целевая переменная безопаснее для базовой регрессии, чем знаковые метрики, потому что знак смещения требует отдельной доменной интерпретации.",False
Без подозрительных строк автоэнкодера,retreat_rate_abs_m_per_year,случайное разбиение на обучение и тест,DummyRegressor_median,541,432,109,23,5,1.8788913746817566,0.3127152669309602,4.389435940184363,2.1835613425409925,-0.09250211938276358,0.0365640296571714,2.9783479725340873,8.533308648608553,-0.07053742828760345,"Выбрана целевая переменная `retreat_rate_abs_m_per_year`: это беззнаковая интенсивность изменения береговой бровки, нормированная на длительность интервала. Такая целевая переменная безопаснее для базовой регрессии, чем знаковые метрики, потому что знак смещения требует отдельной доменной интерпретации.",False
