site_id,n_rows,n_train,n_test,target_mean,target_median,dummy_mae,mlp_log_mae,dummy_rmse,mlp_log_rmse,dummy_r2,mlp_log_r2,mae_improvement_vs_dummy
nizhniy_urakov,82,61,21,0.7524128735600898,0.5326151950612141,0.538639570384519,0.5393365848407787,0.7227712584757082,0.7287146198121537,-0.31711505960057185,-0.3388654429911917,-0.0006970144562596925
burty,71,53,18,1.0753538652725363,0.8535189248491478,0.811107258072457,0.5712588973864401,0.9935383035613731,0.7970096237276785,-0.2536538086159359,0.1932564064134782,0.2398483606860169
berezhnovka,68,51,17,4.895643863803801,3.683195262031422,5.5088165669846685,4.740016161518289,12.758566264558835,12.585983947378685,-0.07105238555182258,-0.04227258037413728,0.7688004054663793
molchanovka,68,51,17,1.390358722753222,1.1635538488168418,1.0313718555997198,0.7306638907249386,1.340055201085066,0.8500331703207119,-0.134874454115687,0.5433597498606644,0.30070796487478113
nizhniy_balykley,65,48,17,3.9621786207821295,3.751216216216227,1.6130479730146974,1.3841461028893267,2.4776522470052558,2.0110459214636887,-0.0015355243086603299,0.340173684199801,0.22890187012537067
proleyskiy,65,48,17,1.7776854671264792,0.2337599999999985,1.087449503698344,1.5794822717218664,3.091556822194574,3.4183986314354655,-0.09904206190822151,-0.343709103198492,-0.49203276802352236
urakov_bugor,60,45,15,0.14729686388024116,0.06877982296178345,0.17524804697130933,0.22503418930398647,0.3056983146487694,0.3303302329043349,-0.2362140456155717,-0.4434582663017943,-0.04978614233267714
novonikolskoe,56,42,14,7.41609660093507,4.447265680862845,8.694869134443602,8.546788218608679,21.613749384920467,20.53530481607545,-0.1300479083003232,-0.02009105718105708,0.14808091583492278
pichuga_yuzhny,40,30,10,0.3518120115618286,0.2385775599349872,0.1921556100564845,0.4323689413428925,0.20670069005313405,0.798348225207652,-0.34802450045578603,-19.10937907607567,-0.240213331286408
